name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Debrecen,2025-01-01,-0.9,-3.5,-2.1,-2,-7,-4.7,-2.3,98.7,0,0,0,,0,0,23,16.4,200.9,1030.5,97.1,0.7,35.2,3.1,2,10,2025-01-01T07:21:37,2025-01-01T15:53:02,0.05,Overcast,Cloudy skies throughout the day.,fog,"LROD,15042099999,12882099999,12892099999,15080099999"
Debrecen,2025-01-02,9.7,-3.7,3,6.1,-6.3,-0.7,0.4,84.2,0,0,0,rain,0,0,41.4,32.2,199.8,1019.3,56.1,9.6,36.1,3.3,2,10,2025-01-02T07:21:35,2025-01-02T15:54:01,0.09,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"LROD,15042099999,12882099999,12892099999,15080099999"
Debrecen,2025-01-03,6,-1,1.5,3.6,-6.2,-2.1,0,90.1,0.108,100,8.33,"rain,snow",0,0.1,36.4,20.7,264,1013,67.7,8.6,45.9,4,2,10,2025-01-03T07:21:29,2025-01-03T15:55:02,0.13,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"LROD,15042099999,12882099999,12892099999,15080099999"
Debrecen,2025-01-04,2.1,-2.9,-0.8,0.1,-7,-4.4,-3.6,81.7,0.01,100,4.17,"rain,snow",0,1.7,33.1,23.9,246.6,1020.5,21.1,10.2,66.5,5.7,3,10,2025-01-04T07:21:21,2025-01-04T15:56:06,0.16,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"LROD,15042099999,12882099999,12892099999,15080099999"
Debrecen,2025-01-05,2.1,-3.9,-0.2,-1.1,-7.2,-3.9,-3.6,78.5,0.001,100,4.17,"rain,snow",0.7,0.1,33.8,18.3,159.8,1017.8,59.7,9.4,33,2.8,2,10,2025-01-05T07:21:11,2025-01-05T15:57:11,0.2,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"LROD,15042099999,12882099999,12892099999,15080099999"
Debrecen,2025-01-06,12,3.1,7.4,12,-1.4,4.5,2.9,73.6,0,0,0,rain,0,0,42.5,34.8,187.6,1010.3,70.2,10.2,37.7,3.3,2,10,2025-01-06T07:20:57,2025-01-06T15:58:18,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LROD,15042099999,12882099999,12892099999,15080099999"
Debrecen,2025-01-07,12.1,7.1,9.2,12.1,3.4,7.5,5.8,79,0.007,100,4.17,rain,0,0,36.4,25.9,185.4,1009.7,61.1,10.2,56.8,4.9,3,10,2025-01-07T07:20:40,2025-01-07T15:59:27,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"LROD,15042099999,12882099999,12892099999,15080099999"
Debrecen,2025-01-08,12,5.1,7.5,12,1.9,5.7,5.4,87.1,0.014,100,8.33,rain,0,0,32.4,27.5,197.4,1011.8,68,10.1,35.7,3.2,2,10,2025-01-08T07:20:21,2025-01-08T16:00:38,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"LROD,15042099999,12882099999,12892099999,15080099999"
Debrecen,2025-01-09,13,6.2,9.8,13,2.9,8.8,6,77.7,0.009,100,4.17,rain,0,0,37.1,25.7,178.3,1011,60.4,10.2,10.5,0.9,0,10,2025-01-09T07:19:59,2025-01-09T16:01:51,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"LROD,15042099999,12882099999,12892099999,15080099999"
Debrecen,2025-01-10,11.1,-1,3.7,11.1,-5.5,0.8,1.8,87.8,0.196,100,12.5,"rain,snow",0.1,0.1,45.4,31.1,241.8,1010.5,67.5,8.7,20.3,1.7,1,10,2025-01-10T07:19:34,2025-01-10T16:03:06,0.38,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"LROD,15042099999,12882099999,12892099999,15080099999"
Debrecen,2025-01-11,2,-4.8,-0.8,-1.9,-9.8,-5.7,-3.3,83.4,0.056,100,4.17,snow,0,0.3,37.1,25.7,222.2,1016.7,29.9,10.2,69.6,5.9,3,10,2025-01-11T07:19:07,2025-01-11T16:04:21,0.41,"Snow, Partially cloudy",Becoming cloudy in the afternoon with morning snow.,rain,"LROD,15042099999,12882099999,12892099999,15080099999"
Debrecen,2025-01-12,3,-3.9,-0.3,0.4,-7.8,-3.7,-2.3,87,0.136,100,4.17,snow,0,0.8,29.9,23.9,208.6,1021.9,32.5,10,70.8,6,3,10,2025-01-12T07:18:36,2025-01-12T16:05:39,0.45,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,rain,"LROD,15042099999,12882099999,12892099999,15080099999"
